#,Name,Type,Height (ft),Height (m),Weight (lbs),Weight (kgs),BMI
708,Phantump,"Ghost
 Grass",104,0.4,15.4,7,43.8
709,Trevenant,"Ghost
 Grass",411,1.5,156.5,71,31.6
710,"Pumpkaboo
 Average Size","Ghost
 Grass",104,0.4,11,5,31.3
710,"Pumpkaboo
 Small Size","Ghost
 Grass",100,0.3,7.7,3.5,38.9
710,"Pumpkaboo
 Large Size","Ghost
 Grass",108,0.5,16.5,7.5,30
710,"Pumpkaboo
 Super Size","Ghost
 Grass",207,0.8,33.1,15,23.4
711,"Gourgeist
 Average Size","Ghost
 Grass",211,0.9,27.6,12.5,15.4
711,"Gourgeist
 Small Size","Ghost
 Grass",204,0.7,20.9,9.5,19.4
711,"Gourgeist
 Large Size","Ghost
 Grass",307,1.1,30.9,14,11.6
711,"Gourgeist
 Super Size","Ghost
 Grass",507,1.7,86,39,13.5
712,Bergmite,Ice,303,1,219.4,99.5,99.5
713,Avalugg,Ice,607,2,1113.3,505,126.3
713,"Avalugg
 Hisuian Avalugg","Ice
 Rock",407,1.4,578.5,262.4,133.9
714,Noibat,"Flying
 Dragon",108,0.5,17.6,8,32
715,Noivern,"Flying
 Dragon",411,1.5,187.4,85,37.8
716,Xerneas,Fairy,910,3,474,215,23.9
717,Yveltal,"Dark
 Flying",1900,5.8,447.5,203,6
718,"Zygarde
 50% Forme","Dragon
 Ground",1605,5,672.4,305,12.2
718,"Zygarde
 10% Forme","Dragon
 Ground",311,1.2,73.9,33.5,23.3
718,"Zygarde
 Complete Forme","Dragon
 Ground",1409,4.5,1344.8,610,30.1
719,Diancie,"Rock
 Fairy",204,0.7,19.4,8.8,18
719,"Diancie
 Mega Diancie","Rock
 Fairy",307,1.1,61.3,27.8,23
720,"Hoopa
 Hoopa Confined","Psychic
 Ghost",108,0.5,19.8,9,36
720,"Hoopa
 Hoopa Unbound","Psychic
 Dark",2104,6.5,1080.3,490,11.6
721,Volcanion,"Fire
 Water",507,1.7,429.9,195,67.5
722,Rowlet,"Grass
 Flying",100,0.3,3.3,1.5,16.7
723,Dartrix,"Grass
 Flying",204,0.7,35.3,16,32.7
724,Decidueye,"Grass
 Ghost",503,1.6,80.7,36.6,14.3
724,"Decidueye
 Hisuian Decidueye","Grass
 Fighting",503,1.6,81.6,37,14.5
725,Litten,Fire,104,0.4,9.5,4.3,26.9
726,Torracat,Fire,204,0.7,55.1,25,51
727,Incineroar,"Fire
 Dark",511,1.8,183,83,25.6
728,Popplio,Water,104,0.4,16.5,7.5,46.9
729,Brionne,Water,200,0.6,38.6,17.5,48.6
730,Primarina,"Water
 Fairy",511,1.8,97,44,13.6
731,Pikipek,"Normal
 Flying",100,0.3,2.6,1.2,13.3
732,Trumbeak,"Normal
 Flying",200,0.6,32.6,14.8,41.1
733,Toucannon,"Normal
 Flying",307,1.1,57.3,26,21.5
734,Yungoos,Normal,104,0.4,13.2,6,37.5
735,Gumshoos,Normal,204,0.7,31.3,14.2,29
736,Grubbin,Bug,104,0.4,9.7,4.4,27.5
737,Charjabug,"Bug
 Electric",108,0.5,23.1,10.5,42
738,Vikavolt,"Bug
 Electric",411,1.5,99.2,45,20
739,Crabrawler,Fighting,200,0.6,15.4,7,19.4
740,Crabominable,"Fighting
 Ice",507,1.7,396.8,180,62.3
741,"Oricorio
 Baile Style","Fire
 Flying",200,0.6,7.5,3.4,9.4
741,"Oricorio
 Pom-Pom Style","Electric
 Flying",200,0.6,7.5,3.4,9.4
741,"Oricorio
 Pa'u Style","Psychic
 Flying",200,0.6,7.5,3.4,9.4
741,"Oricorio
 Sensu Style","Ghost
 Flying",200,0.6,7.5,3.4,9.4
742,Cutiefly,"Bug
 Fairy",4,0.1,0.4,0.2,20
743,Ribombee,"Bug
 Fairy",8,0.2,1.1,0.5,12.5
744,Rockruff,Rock,108,0.5,20.3,9.2,36.8
744,"Rockruff
 Own Tempo Rockruff",Rock,108,0.5,20.3,9.2,36.8
745,"Lycanroc
 Midday Form",Rock,207,0.8,55.1,25,39.1
745,"Lycanroc
 Midnight Form",Rock,307,1.1,55.1,25,20.7
745,"Lycanroc
 Dusk Form",Rock,207,0.8,55.1,25,39.1
746,"Wishiwashi
 Solo Form",Water,8,0.2,0.7,0.3,7.5
746,"Wishiwashi
 School Form",Water,2611,8.2,173.3,78.6,1.2
747,Mareanie,"Poison
 Water",104,0.4,17.6,8,50
748,Toxapex,"Poison
 Water",204,0.7,32,14.5,29.6
749,Mudbray,Ground,303,1,242.5,110,110
750,Mudsdale,Ground,802,2.5,2028.3,920,147.2
751,Dewpider,"Water
 Bug",100,0.3,8.8,4,44.4
752,Araquanid,"Water
 Bug",511,1.8,180.8,82,25.3
753,Fomantis,Grass,100,0.3,3.3,1.5,16.7
754,Lurantis,Grass,211,0.9,40.8,18.5,22.8
755,Morelull,"Grass
 Fairy",8,0.2,3.3,1.5,37.5
756,Shiinotic,"Grass
 Fairy",303,1,25.4,11.5,11.5
757,Salandit,"Poison
 Fire",200,0.6,10.6,4.8,13.3
758,Salazzle,"Poison
 Fire",311,1.2,48.9,22.2,15.4
759,Stufful,"Normal
 Fighting",108,0.5,15,6.8,27.2
760,Bewear,"Normal
 Fighting",611,2.1,297.6,135,30.6
761,Bounsweet,Grass,100,0.3,7.1,3.2,35.6
762,Steenee,Grass,204,0.7,18.1,8.2,16.7
763,Tsareena,Grass,311,1.2,47.2,21.4,14.9
764,Comfey,Fairy,4,0.1,0.7,0.3,30
765,Oranguru,"Normal
 Psychic",411,1.5,167.6,76,33.8
766,Passimian,Fighting,607,2,182.5,82.8,20.7
767,Wimpod,"Bug
 Water",108,0.5,26.5,12,48
768,Golisopod,"Bug
 Water",607,2,238.1,108,27
769,Sandygast,"Ghost
 Ground",108,0.5,154.3,70,280
770,Palossand,"Ghost
 Ground",403,1.3,551.2,250,147.9
771,Pyukumuku,Water,100,0.3,2.6,1.2,13.3
772,Type Null,Normal,603,1.9,265.7,120.5,33.4
773,Silvally,Normal,707,2.3,221.6,100.5,19
774,"Minior
 Meteor Form","Rock
 Flying",100,0.3,88.2,40,444.4
774,"Minior
 Core Form","Rock
 Flying",100,0.3,0.7,0.3,3.3
775,Komala,Normal,104,0.4,43.9,19.9,124.4
776,Turtonator,"Fire
 Dragon",607,2,467.4,212,53
777,Togedemaru,"Electric
 Steel",100,0.3,7.3,3.3,36.7
778,Mimikyu,"Ghost
 Fairy",8,0.2,1.5,0.7,17.5
779,Bruxish,"Water
 Psychic",211,0.9,41.9,19,23.5
780,Drampa,"Normal
 Dragon",910,3,407.9,185,20.6
781,Dhelmise,"Ghost
 Grass",1210,3.9,463,210,13.8
782,Jangmo-o,Dragon,200,0.6,65.5,29.7,82.5
783,Hakamo-o,"Dragon
 Fighting",311,1.2,103.6,47,32.6
784,Kommo-o,"Dragon
 Fighting",503,1.6,172.4,78.2,30.5
785,Tapu Koko,"Electric
 Fairy",511,1.8,45.2,20.5,6.3
786,Tapu Lele,"Psychic
 Fairy",311,1.2,41,18.6,12.9
787,Tapu Bulu,"Grass
 Fairy",603,1.9,100.3,45.5,12.6
788,Tapu Fini,"Water
 Fairy",403,1.3,46.7,21.2,12.5
789,Cosmog,Psychic,8,0.2,0.2,0.1,2.5
790,Cosmoem,Psychic,4,0.1,2204.4,999.9,"99,990.00"
791,Solgaleo,"Psychic
 Steel",1102,3.4,507.1,230,19.9
792,Lunala,"Psychic
 Ghost",1301,4,264.6,120,7.5
793,Nihilego,"Rock
 Poison",311,1.2,122.4,55.5,38.5
794,Buzzwole,"Bug
 Fighting",710,2.4,735.5,333.6,57.9
795,Pheromosa,"Bug
 Fighting",511,1.8,55.1,25,7.7
796,Xurkitree,Electric,1206,3.8,220.5,100,6.9
797,Celesteela,"Steel
 Flying",3002,9.2,2204.4,999.9,11.8
798,Kartana,"Grass
 Steel",100,0.3,0.2,0.1,1.1
799,Guzzlord,"Dark
 Dragon",1801,5.5,1957.7,888,29.4
800,Necrozma,Psychic,710,2.4,507.1,230,39.9
800,"Necrozma
 Dusk Mane Necrozma","Psychic
 Steel",1206,3.8,1014.1,460,31.9
800,"Necrozma
 Dawn Wings Necrozma","Psychic
 Ghost",1309,4.2,771.6,350,19.8
800,"Necrozma
 Ultra Necrozma","Psychic
 Dragon",2407,7.5,507.1,230,4.1
801,Magearna,"Steel
 Fairy",303,1,177.5,80.5,80.5
802,Marshadow,"Fighting
 Ghost",204,0.7,48.9,22.2,45.3
803,Poipole,Poison,200,0.6,4,1.8,5
804,Naganadel,"Poison
 Dragon",1110,3.6,330.7,150,11.6
805,Stakataka,"Rock
 Steel",1801,5.5,1807.8,820,27.1
806,Blacephalon,"Fire
 Ghost",511,1.8,28.7,13,4
807,Zeraora,Electric,411,1.5,98.1,44.5,19.8
808,Meltan,Steel,8,0.2,17.6,8,200
809,Melmetal,Steel,802,2.5,1763.7,800,128
810,Grookey,Grass,100,0.3,11,5,55.6
811,Thwackey,Grass,204,0.7,30.9,14,28.6
812,Rillaboom,Grass,611,2.1,198.4,90,20.4
813,Scorbunny,Fire,100,0.3,9.9,4.5,50
814,Raboot,Fire,200,0.6,19.8,9,25
815,Cinderace,Fire,407,1.4,72.8,33,16.8
816,Sobble,Water,100,0.3,8.8,4,44.4
817,Drizzile,Water,204,0.7,25.4,11.5,23.5
818,Inteleon,Water,603,1.9,99.6,45.2,12.5
819,Skwovet,Normal,100,0.3,5.5,2.5,27.8
820,Greedent,Normal,200,0.6,13.2,6,16.7
821,Rookidee,Flying,8,0.2,4,1.8,45
822,Corvisquire,Flying,207,0.8,35.3,16,25
823,Corviknight,"Flying
 Steel",703,2.2,165.3,75,15.5
824,Blipbug,Bug,104,0.4,17.6,8,50
825,Dottler,"Bug
 Psychic",104,0.4,43,19.5,121.9
826,Orbeetle,"Bug
 Psychic",104,0.4,89.9,40.8,255
827,Nickit,Dark,200,0.6,19.6,8.9,24.7
828,Thievul,Dark,311,1.2,43.9,19.9,13.8
829,Gossifleur,Grass,104,0.4,4.9,2.2,13.8
830,Eldegoss,Grass,108,0.5,5.5,2.5,10
831,Wooloo,Normal,200,0.6,13.2,6,16.7
832,Dubwool,Normal,403,1.3,94.8,43,25.4
833,Chewtle,Water,100,0.3,18.7,8.5,94.4
834,Drednaw,"Water
 Rock",303,1,254.6,115.5,115.5
835,Yamper,Electric,100,0.3,29.8,13.5,150
836,Boltund,Electric,303,1,75,34,34
837,Rolycoly,Rock,100,0.3,26.5,12,133.3
838,Carkol,"Rock
 Fire",307,1.1,172,78,64.5
839,Coalossal,"Rock
 Fire",902,2.8,684.5,310.5,39.6
840,Applin,"Grass
 Dragon",8,0.2,1.1,0.5,12.5
841,Flapple,"Grass
 Dragon",100,0.3,2.2,1,11.1
842,Appletun,"Grass
 Dragon",104,0.4,28.7,13,81.3
843,Silicobra,Ground,703,2.2,16.8,7.6,1.6
844,Sandaconda,Ground,1206,3.8,144.4,65.5,4.5
845,Cramorant,"Flying
 Water",207,0.8,39.7,18,28.1
846,Arrokuda,Water,108,0.5,2.2,1,4
847,Barraskewda,Water,403,1.3,66.1,30,17.8
848,Toxel,"Electric
 Poison",104,0.4,24.3,11,68.8
849,"Toxtricity
 Low Key Form","Electric
 Poison",503,1.6,88.2,40,15.6
849,"Toxtricity
 Amped Form","Electric
 Poison",503,1.6,88.2,40,15.6
850,Sizzlipede,"Fire
 Bug",204,0.7,2.2,1,2
851,Centiskorch,"Fire
 Bug",910,3,264.6,120,13.3
852,Clobbopus,Fighting,200,0.6,8.8,4,11.1
853,Grapploct,Fighting,503,1.6,86,39,15.2
854,Sinistea,Ghost,4,0.1,0.4,0.2,20
855,Polteageist,Ghost,8,0.2,0.9,0.4,10
856,Hatenna,Psychic,104,0.4,7.5,3.4,21.3
857,Hattrem,Psychic,200,0.6,10.6,4.8,13.3
858,Hatterene,"Psychic
 Fairy",611,2.1,11,5,1.1
859,Impidimp,"Dark
 Fairy",104,0.4,12.1,5.5,34.4
860,Morgrem,"Dark
 Fairy",207,0.8,27.6,12.5,19.5
861,Grimmsnarl,"Dark
 Fairy",411,1.5,134.5,61,27.1
862,Obstagoon,"Dark
 Normal",503,1.6,101.4,46,18
863,Perrserker,Steel,207,0.8,61.7,28,43.8
864,Cursola,Ghost,303,1,0.9,0.4,0.4
865,Sirfetch'd,Fighting,207,0.8,257.9,117,182.8
866,Mr. Rime,"Ice
 Psychic",411,1.5,128.3,58.2,25.9
867,Runerigus,"Ground
 Ghost",503,1.6,146.8,66.6,26
868,Milcery,Fairy,8,0.2,0.7,0.3,7.5
869,Alcremie,Fairy,100,0.3,1.1,0.5,5.6
870,Falinks,Fighting,910,3,136.7,62,6.9
871,Pincurchin,Electric,100,0.3,2.2,1,11.1
872,Snom,"Ice
 Bug",100,0.3,8.4,3.8,42.2
873,Frosmoth,"Ice
 Bug",403,1.3,92.6,42,24.9
874,Stonjourner,Rock,802,2.5,1146.4,520,83.2
875,"Eiscue
 Ice Face",Ice,407,1.4,196.2,89,45.4
875,"Eiscue
 Noice Face",Ice,407,1.4,196.2,89,45.4
876,"Indeedee
 Male","Psychic
 Normal",211,0.9,61.7,28,34.6
876,"Indeedee
 Female","Psychic
 Normal",211,0.9,61.7,28,34.6
877,"Morpeko
 Full Belly Mode","Electric
 Dark",100,0.3,6.6,3,33.3
877,"Morpeko
 Hangry Mode","Electric
 Dark",100,0.3,6.6,3,33.3
878,Cufant,Steel,311,1.2,220.5,100,69.4
879,Copperajah,Steel,910,3,1433,650,72.2
880,Dracozolt,"Electric
 Dragon",511,1.8,418.9,190,58.6
881,Arctozolt,"Electric
 Ice",707,2.3,330.7,150,28.4
882,Dracovish,"Water
 Dragon",707,2.3,474,215,40.6
883,Arctovish,"Water
 Ice",607,2,385.8,175,43.8
884,Duraludon,"Steel
 Dragon",511,1.8,88.2,40,12.3
885,Dreepy,"Dragon
 Ghost",108,0.5,4.4,2,8
886,Drakloak,"Dragon
 Ghost",407,1.4,24.3,11,5.6
887,Dragapult,"Dragon
 Ghost",910,3,110.2,50,5.6
888,"Zacian
 Crowned Sword","Fairy
 Steel",902,2.8,782.6,355,45.3
888,"Zacian
 Hero of Many Battles",Fairy,902,2.8,242.5,110,14
889,"Zamazenta
 Crowned Shield","Fighting
 Steel",906,2.9,1730.6,785,93.3
889,"Zamazenta
 Hero of Many Battles",Fighting,906,2.9,463,210,25
890,Eternatus,"Poison
 Dragon",6507,20,2094.4,950,2.4
891,Kubfu,Fighting,200,0.6,26.5,12,33.3
892,"Urshifu
 Single Strike Style","Fighting
 Dark",603,1.9,231.5,105,29.1
892,"Urshifu
 Rapid Strike Style","Fighting
 Water",603,1.9,231.5,105,29.1
893,Zarude,"Dark
 Grass",511,1.8,154.3,70,21.6
894,Regieleki,Electric,311,1.2,319.7,145,100.7
895,Regidrago,Dragon,611,2.1,440.9,200,45.4
896,Glastrier,Ice,703,2.2,1763.7,800,165.3
897,Spectrier,Ghost,607,2,98.1,44.5,11.1
898,Calyrex,"Psychic
 Grass",307,1.1,17,7.7,6.4
898,"Calyrex
 Ice Rider","Psychic
 Ice",710,2.4,1783.8,809.1,140.5
898,"Calyrex
 Shadow Rider","Psychic
 Ghost",710,2.4,118.2,53.6,9.3
899,Wyrdeer,"Normal
 Psychic",511,1.8,209.7,95.1,29.4
900,Kleavor,"Bug
 Rock",511,1.8,196.2,89,27.5
901,Ursaluna,"Normal
 Ground",710,2.4,639.3,290,50.3
902,"Basculegion
 Male","Water
 Ghost",910,3,242.5,110,12.2
902,"Basculegion
 Female","Water
 Ghost",910,3,242.5,110,12.2
903,Sneasler,"Poison
 Fighting",403,1.3,94.8,43,25.4
904,Overqwil,"Dark
 Poison",802,2.5,133.4,60.5,9.7
905,"Enamorus
 Incarnate Forme","Fairy
 Flying",503,1.6,105.8,48,18.8
905,"Enamorus
 Therian Forme","Fairy
 Flying",503,1.6,105.8,48,18.8
906,Sprigatito,Grass,104,0.4,9,4.1,25.6
909,Fuecoco,Fire,104,0.4,21.6,9.8,61.3
912,Quaxly,Water,108,0.5,13.4,6.1,24.4
